customer_id,user_type,age,city_tier,daily_free_hours,avg_ott_hours_per_day,number_of_platforms,primary_device,net_quality,plan,monthly_fee,tenure_months,auto_renewable_enabled,days_since_last_login,num_support_tickets_last_3m,churn_score,churn_prob,churn,churn_reason,lifestyle
CUST_00001,retired individual,64,tier 3,2.762803488,0.845147371,3,phone,high,standard,373.02,7,TRUE,38,0,1.6,0.832018385,1,too expensive,binge watcher
CUST_00002,college student,18,tier 1,3.144679955,2.314090682,2,tablet,high,basic,219.38,16,FALSE,26,1,1.1,0.750260106,1,switched to competitor,news junkie
CUST_00003,school student,10,tier 2,4.171270613,2.199304996,1,smart TV,low,premium,686.85,35,TRUE,53,0,1.3,0.785834983,1,too expensive,casual viewer
CUST_00004,college student,22,tier 2,2.176274049,1.457863507,3,phone,medium,basic,158.38,1,FALSE,17,0,2.8,0.942675824,1,too expensive,binge watcher
CUST_00005,college student,19,tier 1,3.699117487,1.912441316,1,smart TV,high,basic,206.36,28,TRUE,29,2,0.5,0.622459331,1,switched to competitor,family viewer
CUST_00006,retired individual,80,tier 1,3.194504666,2.247346538,1,phone,high,basic,225.48,9,FALSE,50,0,1.1,0.750260106,1,content not interesting,news junkie
CUST_00007,college student,21,tier 2,5.623749807,2.083529263,1,other device,high,standard,395.67,17,FALSE,20,2,1,0.731058579,1,switched to competitor,family viewer
CUST_00008,working professional,48,tier 1,0.257249623,0.193436409,1,other device,medium,basic,244.51,21,TRUE,21,1,1.1,0.750260106,0,none,binge watcher
CUST_00009,college student,24,tier 1,3.651039664,2.535436917,3,laptop,high,standard,442.4,3,FALSE,51,0,2.3,0.908877039,1,too expensive,binge watcher
CUST_00010,retired individual,87,tier 1,2.512044533,1.067626192,2,other device,low,premium,771.42,17,FALSE,0,0,1.7,0.845534735,1,too expensive,news junkie
CUST_00011,school student,13,tier 2,3.183710183,2.387115708,1,tablet,low,premium,659.94,35,FALSE,27,1,1.4,0.802183889,0,none,news junkie
CUST_00012,school student,11,tier 2,4.505039897,1.889777701,1,tablet,medium,premium,681.76,1,TRUE,24,0,1.3,0.785834983,0,none,family viewer
CUST_00013,retired individual,85,tier 2,2.305406173,1.950938842,2,phone,low,basic,199.38,18,FALSE,39,1,2.4,0.916827304,1,technical issues,binge watcher
CUST_00014,school student,10,tier 3,2.403146448,1.947597155,1,phone,medium,basic,230.81,3,TRUE,23,0,1.1,0.750260106,1,technical issues,binge watcher
CUST_00015,retired individual,56,tier 2,4.408456801,1.676891221,1,smart TV,high,standard,395.27,28,FALSE,12,1,0.4,0.59868766,1,switched to competitor,news junkie
CUST_00016,college student,23,tier 1,4.05000289,2.245376209,2,phone,high,basic,225.42,22,TRUE,30,2,0.9,0.710949503,1,switched to competitor,casual viewer
CUST_00017,college student,24,tier 2,4.219838949,3.273750331,2,phone,high,premium,700.84,24,TRUE,55,1,1,0.731058579,0,none,binge watcher
CUST_00018,college student,19,tier 1,2.909371379,1.095219351,2,tablet,high,premium,755.24,6,FALSE,2,0,1,0.731058579,0,none,news junkie
CUST_00019,working professional,27,tier 1,3.099107204,2.334041967,1,phone,high,standard,434.92,12,FALSE,42,0,1.1,0.750260106,0,none,news junkie
CUST_00020,retired individual,61,tier 1,2.584103767,0.833384781,3,phone,high,standard,471.58,16,FALSE,8,1,1.4,0.802183889,1,too expensive,casual viewer
